[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.276265
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.711923
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.851778
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.698048
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.751535
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.713452
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.647895
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.875589
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.724559
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.717684
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.383965
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.978458
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.987756
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.358081
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.346683
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.460749
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.379871
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.673976
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.885873
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.519262
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.129306
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.887497
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.522118
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.837411
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.629298
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.778268
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.235231
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.591601
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.575597
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.098990
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.590870
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.456018
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.551344
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.437450
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 2.028712
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.263530
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.496355
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.516307
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.905525
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.267015
