[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.013339
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.006691
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 70.567116
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 85.205994
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 2.711943
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 22.958794
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 35.799137
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000059
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 86.055435
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 44.182518
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 51.396053
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 4.376037
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 28.258724
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 12.460124
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 21.002964
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 8.440256
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000006
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 1.790867
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000003
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 1.225553
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 33.693619
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 31.988504
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 6.457718
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 53.050045
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.737278
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 21.024035
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 11.417375
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 52.005264
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 2.499077
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.045820
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 15.480886
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000165
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.670946
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 6.673433
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 10.890272
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 58.813629
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000940
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 34.789455
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 7.645842
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 44.175789
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.494033
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 13.392632
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000013
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 16.482285
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 101.930656
